crypto_name,crypto_symbol,date,open_value,high_value,low_value,close_value,volume_value
Bitcoin,BTC,2020-11-01,13791.0,13895.0,13603.0,13761.5,36285.648526
Bitcoin,BTC,2020-10-31,13560.1,14100.0,13411.5,13791.0,67339.238515
Bitcoin,BTC,2020-10-30,13455.69,13669.98,13115.0,13560.1,70657.778881
Bitcoin,BTC,2020-10-29,13266.4,13642.91,12920.77,13455.7,74872.602132
Bitcoin,BTC,2020-10-28,13636.16,13859.48,12888.0,13266.4,94440.561226
Bitcoin,BTC,2020-10-27,13052.15,13789.29,13019.87,13636.17,80796.553996
Bitcoin,BTC,2020-10-26,13029.64,13238.81,12765.0,13052.19,60951.672986
Bitcoin,BTC,2020-10-25,13111.73,13350.0,12888.0,13028.83,38481.579504
Bitcoin,BTC,2020-10-24,12923.06,13166.73,12870.0,13111.73,35952.20907
Bitcoin,BTC,2020-10-23,12968.84,13027.69,12720.08,12923.07,50386.999841
Bitcoin,BTC,2020-10-22,12780.75,13185.0,12678.08,12968.52,70038.824144
Bitcoin,BTC,2020-10-21,11910.0,13217.68,11886.95,12780.96,114584.456767
Bitcoin,BTC,2020-10-20,11751.46,12038.38,11677.59,11909.99,62134.750663
Bitcoin,BTC,2020-10-19,11503.14,11823.99,11407.96,11751.47,47414.534692
Bitcoin,BTC,2020-10-18,11360.31,11505.0,11346.22,11503.14,23284.041191
Bitcoin,BTC,2020-10-17,11319.24,11402.42,11255.0,11360.2,22368.915241
Bitcoin,BTC,2020-10-16,11505.13,11541.15,11200.0,11319.32,48797.749502
Bitcoin,BTC,2020-10-15,11417.89,11617.34,11250.83,11505.12,48760.717679
Bitcoin,BTC,2020-10-14,11420.57,11547.98,11280.0,11417.89,41415.106015
Bitcoin,BTC,2020-10-13,11528.24,11557.0,11300.0,11420.56,42205.283709
Bitcoin,BTC,2020-10-12,11369.02,11720.01,11172.0,11528.25,52825.28371
Bitcoin,BTC,2020-10-11,11293.22,11445.0,11221.0,11369.02,29043.851339
Bitcoin,BTC,2020-10-10,11050.64,11491.0,11050.51,11293.22,43648.036943
Bitcoin,BTC,2020-10-09,10925.44,11104.64,10829.0,11050.64,48240.073237
Bitcoin,BTC,2020-10-08,10666.4,10950.0,10530.41,10925.57,51959.691572
Bitcoin,BTC,2020-10-07,10599.65,10681.87,10546.17,10666.39,32811.990279
Bitcoin,BTC,2020-10-06,10792.2,10800.0,10525.0,10599.66,48674.740471
Bitcoin,BTC,2020-10-05,10666.62,10798.0,10615.64,10792.21,34025.761653
Bitcoin,BTC,2020-10-04,10542.07,10696.87,10517.87,10666.63,23212.001595
Bitcoin,BTC,2020-10-03,10570.4,10603.56,10496.46,10542.06,22298.221341
Bitcoin,BTC,2020-10-02,10619.13,10664.64,10374.0,10570.4,50130.393705
Bitcoin,BTC,2020-10-01,10776.59,10920.0,10437.0,10619.13,60866.332893
Bitcoin,BTC,2020-09-30,10840.58,10849.34,10665.13,10776.59,39596.027322
Bitcoin,BTC,2020-09-29,10696.11,10867.54,10635.87,10840.48,41874.898399
Bitcoin,BTC,2020-09-28,10774.26,10950.0,10626.0,10696.12,50095.251734
Bitcoin,BTC,2020-09-27,10728.59,10799.0,10594.82,10774.25,30549.483253
Bitcoin,BTC,2020-09-26,10686.57,10820.94,10644.68,10728.6,28420.836659
Bitcoin,BTC,2020-09-25,10736.33,10760.53,10556.24,10686.67,48101.117008
Bitcoin,BTC,2020-09-24,10241.46,10795.24,10190.93,10736.32,57676.619427
Bitcoin,BTC,2020-09-23,10529.61,10537.15,10136.82,10241.46,51876.568079
Bitcoin,BTC,2020-09-22,10417.22,10572.71,10353.0,10529.61,43991.235476
Bitcoin,BTC,2020-09-21,10920.28,10988.86,10296.35,10417.22,70683.431179
Bitcoin,BTC,2020-09-20,11080.64,11080.64,10723.0,10920.28,39157.922565
Bitcoin,BTC,2020-09-19,10933.4,11179.79,10887.37,11080.65,38440.036858
Bitcoin,BTC,2020-09-18,10940.0,11038.03,10812.84,10933.39,47266.728275
Bitcoin,BTC,2020-09-17,10954.01,11045.46,10745.83,10939.99,55601.614529
Bitcoin,BTC,2020-09-16,10785.23,11093.0,10661.22,10954.01,64991.51244
Bitcoin,BTC,2020-09-15,10671.77,10930.04,10606.48,10785.31,61822.452786
Bitcoin,BTC,2020-09-14,10332.84,10750.0,10212.34,10671.77,67059.291361
Bitcoin,BTC,2020-09-13,10440.67,10580.11,10200.0,10332.83,43837.609865
Bitcoin,BTC,2020-09-12,10387.89,10477.97,10269.25,10440.92,35379.153096
Bitcoin,BTC,2020-09-11,10336.86,10397.6,10200.0,10387.89,43830.254467
Bitcoin,BTC,2020-09-10,10219.29,10483.35,10070.83,10336.87,58253.75375
Bitcoin,BTC,2020-09-09,10126.66,10343.0,9981.01,10219.2,49347.113776
Bitcoin,BTC,2020-09-08,10373.45,10438.0,9850.0,10126.65,73491.878418
Bitcoin,BTC,2020-09-07,10255.89,10410.75,9875.0,10373.44,62620.230676
Bitcoin,BTC,2020-09-06,10166.69,10347.14,9994.86,10256.2,56368.788815
Bitcoin,BTC,2020-09-05,10446.25,10565.68,9825.0,10166.69,90001.605568
Bitcoin,BTC,2020-09-04,10138.29,10627.05,9875.5,10446.25,92733.599113
Bitcoin,BTC,2020-09-03,11388.54,11462.6,9960.8,10140.85,121950.106015
Bitcoin,BTC,2020-09-02,11921.97,11954.57,11160.1,11388.54,87221.845602
